,test_c,test_i,train_c,train_i
0,1149,8851,6849,53151
1,9356,644,55955,4045
2,9538,462,57213,2787
3,9595,405,57750,2250
4,9623,377,57994,2006
5,9633,367,58191,1809
6,9643,357,58312,1688
7,9664,336,58402,1598
8,9672,328,58460,1540
9,9675,325,58496,1504
10,9679,321,58551,1449
11,9683,317,58582,1418
12,9687,313,58612,1388
13,9686,314,58633,1367
14,9688,312,58667,1333
15,9690,310,58685,1315
16,9685,315,58709,1291
17,9684,316,58731,1269
18,9682,318,58750,1250
19,9680,320,58753,1247
20,9681,319,58765,1235
21,9680,320,58787,1213
22,9677,323,58786,1214
23,9676,324,58791,1209
24,9676,324,58796,1204
25,9672,328,58808,1192
26,9667,333,58811,1189
27,9667,333,58815,1185
28,9663,337,58825,1175
29,9665,335,58830,1170
30,9662,338,58836,1164
31,9663,337,58845,1155
32,9664,336,58854,1146
33,9666,334,58852,1148
34,9668,332,58855,1145
35,9665,335,58860,1140
36,9659,341,58867,1133
37,9654,346,58879,1121
38,9654,346,58892,1108
39,9651,349,58898,1102
40,9651,349,58904,1096
41,9651,349,58908,1092
42,9651,349,58916,1084
43,9653,347,58927,1073
44,9655,345,58927,1073
45,9657,343,58934,1066
46,9656,344,58933,1067
47,9655,345,58933,1067
48,9658,342,58936,1064
49,9661,339,58939,1061
50,9662,338,58942,1058
