,test_c,test_i,train_c,train_i
0,892,9108,1375,13625
1,9339,661,14029,971
2,9437,563,14276,724
3,9463,537,14385,615
4,9467,533,14447,553
5,9456,544,14470,530
6,9457,543,14498,502
7,9455,545,14538,462
8,9461,539,14576,424
9,9451,549,14614,386
10,9462,538,14642,358
11,9477,523,14663,337
12,9484,516,14691,309
13,9504,496,14726,274
14,9502,498,14743,257
15,9512,488,14753,247
16,9509,491,14767,233
17,9506,494,14773,227
18,9504,496,14783,217
19,9500,500,14785,215
20,9499,501,14791,209
21,9499,501,14800,200
22,9502,498,14809,191
23,9502,498,14814,186
24,9511,489,14822,178
25,9512,488,14827,173
26,9515,485,14835,165
27,9513,487,14838,162
28,9507,493,14841,159
29,9506,494,14842,158
30,9499,501,14845,155
31,9503,497,14847,153
32,9498,502,14852,148
33,9499,501,14849,151
34,9498,502,14851,149
35,9496,504,14847,153
36,9491,509,14849,151
37,9493,507,14848,152
38,9488,512,14850,150
39,9487,513,14846,154
40,9487,513,14847,153
41,9484,516,14848,152
42,9483,517,14849,151
43,9485,515,14852,148
44,9483,517,14855,145
45,9479,521,14854,146
46,9477,523,14857,143
47,9478,522,14857,143
48,9473,527,14858,142
49,9474,526,14863,137
50,9471,529,14863,137
