,test_c,test_i,train_c,train_i
0,1009,8991,2972,27028
1,9420,580,28313,1687
2,9477,523,28648,1352
3,9480,520,28809,1191
4,9516,484,28900,1100
5,9564,436,29043,957
6,9560,440,29093,907
7,9561,439,29170,830
8,9572,428,29225,775
9,9561,439,29275,725
10,9561,439,29330,670
11,9571,429,29356,644
12,9577,423,29391,609
13,9576,424,29421,579
14,9581,419,29440,560
15,9585,415,29454,546
16,9590,410,29463,537
17,9582,418,29470,530
18,9580,420,29475,525
19,9583,417,29481,519
20,9575,425,29478,522
21,9565,435,29480,520
22,9560,440,29484,516
23,9562,438,29491,509
24,9559,441,29487,513
25,9559,441,29489,511
26,9554,446,29495,505
27,9559,441,29500,500
28,9554,446,29504,496
29,9547,453,29498,502
30,9543,457,29503,497
31,9553,447,29515,485
32,9549,451,29526,474
33,9546,454,29532,468
34,9534,466,29536,464
35,9525,475,29540,460
36,9523,477,29539,461
37,9522,478,29539,461
38,9516,484,29548,452
39,9513,487,29553,447
40,9510,490,29557,443
41,9503,497,29555,445
42,9509,491,29553,447
43,9505,495,29557,443
44,9502,498,29557,443
45,9496,504,29561,439
46,9499,501,29561,439
47,9499,501,29554,446
48,9498,502,29565,435
49,9499,501,29571,429
50,9492,508,29572,428
