,test_c,test_i,train_c,train_i
0,980,9020,5923,54077
1,980,9020,5923,54077
2,980,9020,5923,54077
3,980,9020,5923,54077
4,980,9020,5923,54077
5,980,9020,5923,54077
6,980,9020,5923,54077
7,980,9020,5923,54077
8,980,9020,5923,54077
9,980,9020,5923,54077
10,980,9020,5923,54077
11,980,9020,5923,54077
12,980,9020,5923,54077
13,980,9020,5923,54077
14,980,9020,5923,54077
15,980,9020,5923,54077
16,980,9020,5923,54077
17,980,9020,5923,54077
18,980,9020,5923,54077
19,980,9020,5923,54077
20,980,9020,5923,54077
21,980,9020,5923,54077
22,980,9020,5923,54077
23,980,9020,5923,54077
24,980,9020,5923,54077
25,980,9020,5923,54077
26,980,9020,5923,54077
27,980,9020,5923,54077
28,980,9020,5923,54077
29,980,9020,5923,54077
30,980,9020,5923,54077
31,980,9020,5923,54077
32,980,9020,5923,54077
33,980,9020,5923,54077
34,980,9020,5923,54077
35,980,9020,5923,54077
36,980,9020,5923,54077
37,980,9020,5923,54077
38,980,9020,5923,54077
39,980,9020,5923,54077
40,980,9020,5923,54077
41,980,9020,5923,54077
42,980,9020,5923,54077
43,980,9020,5923,54077
44,980,9020,5923,54077
45,980,9020,5923,54077
46,980,9020,5923,54077
47,980,9020,5923,54077
48,980,9020,5923,54077
49,980,9020,5923,54077
50,980,9020,5923,54077
